target_class,background,atten_model,distance_m,sample_idx,snr_db,top1_class,top1_score,target_score_primary,target_score_family,primary_in_top1,primary_in_top5,family_in_top5
chainsaw,rain,free_field,1,0,55.0,Engine,0.21477849781513214,0.17565569281578064,0.21477849781513214,False,True,True
chainsaw,rain,free_field,1,1,55.0,Chainsaw,0.5746212601661682,0.5746212601661682,0.5746212601661682,True,True,True
chainsaw,rain,free_field,1,2,55.0,Chainsaw,0.6421099305152893,0.6421099305152893,0.6421099305152893,True,True,True
chainsaw,rain,free_field,5,0,41.020599913279625,Engine,0.21320953965187073,0.177052304148674,0.21320953965187073,False,True,True
chainsaw,rain,free_field,5,1,41.020599913279625,Chainsaw,0.5919682383537292,0.5919682383537292,0.5919682383537292,True,True,True
chainsaw,rain,free_field,5,2,41.020599913279625,Chainsaw,0.6399909257888794,0.6399909257888794,0.6399909257888794,True,True,True
chainsaw,rain,free_field,10,0,35.0,Engine,0.2162388265132904,0.17554080486297607,0.2162388265132904,False,True,True
chainsaw,rain,free_field,10,1,35.0,Chainsaw,0.591544508934021,0.591544508934021,0.591544508934021,True,True,True
chainsaw,rain,free_field,10,2,35.0,Chainsaw,0.6320031881332397,0.6320031881332397,0.6320031881332397,True,True,True
chainsaw,rain,free_field,25,0,27.04119982655925,Engine,0.21418002247810364,0.14590686559677124,0.21418002247810364,False,True,True
chainsaw,rain,free_field,25,1,27.04119982655925,Chainsaw,0.5846115946769714,0.5846115946769714,0.5846115946769714,True,True,True
chainsaw,rain,free_field,25,2,27.04119982655925,Chainsaw,0.6474088430404663,0.6474088430404663,0.6474088430404663,True,True,True
chainsaw,rain,free_field,50,0,21.020599913279625,Vehicle,0.20352773368358612,0.1054290309548378,0.20352773368358612,False,True,True
chainsaw,rain,free_field,50,1,21.020599913279625,Chainsaw,0.5923944711685181,0.5923944711685181,0.5923944711685181,True,True,True
chainsaw,rain,free_field,50,2,21.020599913279625,Chainsaw,0.6440187692642212,0.6440187692642212,0.6440187692642212,True,True,True
chainsaw,rain,free_field,100,0,15.0,Engine,0.18464341759681702,0.11062121391296387,0.18464341759681702,False,True,True
chainsaw,rain,free_field,100,1,15.0,Engine,0.5127627849578857,0.47269901633262634,0.5127627849578857,False,True,True
chainsaw,rain,free_field,100,2,15.0,Chainsaw,0.7044543623924255,0.7044543623924255,0.7044543623924255,True,True,True
chainsaw,rain,free_field,200,0,8.979400086720375,Vehicle,0.17035344243049622,0.07107354700565338,0.17035344243049622,False,False,True
chainsaw,rain,free_field,200,1,8.979400086720375,Engine,0.3061884045600891,0.20500445365905762,0.3061884045600891,False,True,True
chainsaw,rain,free_field,200,2,8.979400086720375,Chainsaw,0.7037944793701172,0.7037944793701172,0.7037944793701172,True,True,True
chainsaw,rain,free_field,500,0,1.020599913279625,Vehicle,0.21347256004810333,0.0359591506421566,0.21347256004810333,False,False,True
chainsaw,rain,free_field,500,1,1.020599913279625,Vehicle,0.21576514840126038,0.033797964453697205,0.21576514840126038,False,False,True
chainsaw,rain,free_field,500,2,1.020599913279625,Engine,0.30951058864593506,0.25346237421035767,0.30951058864593506,False,True,True
chainsaw,rain,free_field,1000,0,-5.0,Vehicle,0.338578999042511,0.00280026369728148,0.338578999042511,False,False,True
chainsaw,rain,free_field,1000,1,-5.0,Vehicle,0.25067877769470215,0.006035574246197939,0.25067877769470215,False,False,True
chainsaw,rain,free_field,1000,2,-5.0,Engine,0.18489083647727966,0.11775387823581696,0.18489083647727966,False,True,True
chainsaw,rain,forest,1,0,55.0,Engine,0.21477849781513214,0.17565569281578064,0.21477849781513214,False,True,True
chainsaw,rain,forest,1,1,55.0,Chainsaw,0.5746212601661682,0.5746212601661682,0.5746212601661682,True,True,True
chainsaw,rain,forest,1,2,55.0,Chainsaw,0.6421099305152893,0.6421099305152893,0.6421099305152893,True,True,True
chainsaw,rain,forest,5,0,40.82059991327962,Engine,0.21317648887634277,0.1770377904176712,0.21317648887634277,False,True,True
chainsaw,rain,forest,5,1,40.82059991327962,Chainsaw,0.5919593572616577,0.5919593572616577,0.5919593572616577,True,True,True
chainsaw,rain,forest,5,2,40.82059991327962,Chainsaw,0.6398028135299683,0.6398028135299683,0.6398028135299683,True,True,True
chainsaw,rain,forest,10,0,34.55,Engine,0.21647396683692932,0.17494909465312958,0.21647396683692932,False,True,True
chainsaw,rain,forest,10,1,34.55,Chainsaw,0.5917510986328125,0.5917510986328125,0.5917510986328125,True,True,True
chainsaw,rain,forest,10,2,34.55,Chainsaw,0.6326830387115479,0.6326830387115479,0.6326830387115479,True,True,True
chainsaw,rain,forest,25,0,25.841199826559247,Engine,0.2135920524597168,0.14198777079582214,0.2135920524597168,False,True,True
chainsaw,rain,forest,25,1,25.841199826559247,Chainsaw,0.5829840898513794,0.5829840898513794,0.5829840898513794,True,True,True
chainsaw,rain,forest,25,2,25.841199826559247,Chainsaw,0.6477882266044617,0.6477882266044617,0.6477882266044617,True,True,True
chainsaw,rain,forest,50,0,18.570599913279622,Vehicle,0.19606241583824158,0.09750370681285858,0.19606241583824158,False,True,True
chainsaw,rain,forest,50,1,18.570599913279622,Chainsaw,0.5632627010345459,0.5632627010345459,0.5632627010345459,True,True,True
chainsaw,rain,forest,50,2,18.570599913279622,Chainsaw,0.6495600938796997,0.6495600938796997,0.6495600938796997,True,True,True
chainsaw,rain,forest,100,0,10.049999999999997,Vehicle,0.16875651478767395,0.06998606026172638,0.16875651478767395,False,False,True
chainsaw,rain,forest,100,1,10.049999999999997,Engine,0.3590240776538849,0.23685112595558167,0.3590240776538849,False,True,True
chainsaw,rain,forest,100,2,10.049999999999997,Chainsaw,0.743738055229187,0.743738055229187,0.743738055229187,True,True,True
chainsaw,rain,forest,200,0,-0.9705999132796279,Vehicle,0.22788330912590027,0.019839152693748474,0.22788330912590027,False,False,True
chainsaw,rain,forest,200,1,-0.9705999132796279,Vehicle,0.24289849400520325,0.03049369528889656,0.24289849400520325,False,False,True
chainsaw,rain,forest,200,2,-0.9705999132796279,Engine,0.2595461905002594,0.1771908551454544,0.2595461905002594,False,True,True
chainsaw,rain,forest,500,0,-23.929400086720378,Engine,0.2677080035209656,0.003460245206952095,0.2677080035209656,False,False,True
chainsaw,rain,forest,500,1,-23.929400086720378,Engine,0.181763157248497,0.0011674589477479458,0.181763157248497,False,False,True
chainsaw,rain,forest,500,2,-23.929400086720378,Engine,0.23913879692554474,0.004368816968053579,0.23913879692554474,False,False,True
chainsaw,rain,forest,1000,0,-54.95,Engine,0.28327733278274536,0.004974196664988995,0.28327733278274536,False,False,True
chainsaw,rain,forest,1000,1,-54.95,Engine,0.2786736488342285,0.00539433304220438,0.2786736488342285,False,False,True
chainsaw,rain,forest,1000,2,-54.95,Engine,0.2810923457145691,0.005131905898451805,0.2810923457145691,False,False,True
chainsaw,wind,free_field,1,0,55.0,Engine,0.21478378772735596,0.17496457695960999,0.21478378772735596,False,True,True
chainsaw,wind,free_field,1,1,55.0,Chainsaw,0.5719015598297119,0.5719015598297119,0.5719015598297119,True,True,True
chainsaw,wind,free_field,1,2,55.0,Chainsaw,0.6396467685699463,0.6396467685699463,0.6396467685699463,True,True,True
chainsaw,wind,free_field,5,0,41.020599913279625,Engine,0.21628046035766602,0.17739544808864594,0.21628046035766602,False,True,True
chainsaw,wind,free_field,5,1,41.020599913279625,Chainsaw,0.569384753704071,0.569384753704071,0.569384753704071,True,True,True
chainsaw,wind,free_field,5,2,41.020599913279625,Chainsaw,0.6366328597068787,0.6366328597068787,0.6366328597068787,True,True,True
chainsaw,wind,free_field,10,0,35.0,Engine,0.21566280722618103,0.17475037276744843,0.21566280722618103,False,True,True
chainsaw,wind,free_field,10,1,35.0,Chainsaw,0.5672125816345215,0.5672125816345215,0.5672125816345215,True,True,True
chainsaw,wind,free_field,10,2,35.0,Chainsaw,0.6396064758300781,0.6396064758300781,0.6396064758300781,True,True,True
chainsaw,wind,free_field,25,0,27.04119982655925,Engine,0.21287068724632263,0.1771833598613739,0.21287068724632263,False,True,True
chainsaw,wind,free_field,25,1,27.04119982655925,Engine,0.5610634088516235,0.5605815649032593,0.5610634088516235,False,True,True
chainsaw,wind,free_field,25,2,27.04119982655925,Chainsaw,0.6372968554496765,0.6372968554496765,0.6372968554496765,True,True,True
chainsaw,wind,free_field,50,0,21.020599913279625,Vehicle,0.2049473226070404,0.15984675288200378,0.2049473226070404,False,True,True
chainsaw,wind,free_field,50,1,21.020599913279625,Engine,0.5581668019294739,0.5581316351890564,0.5581668019294739,False,True,True
chainsaw,wind,free_field,50,2,21.020599913279625,Chainsaw,0.6101157069206238,0.6101157069206238,0.6101157069206238,True,True,True
chainsaw,wind,free_field,100,0,15.0,Vehicle,0.2536652386188507,0.10363568365573883,0.2536652386188507,False,False,True
chainsaw,wind,free_field,100,1,15.0,Engine,0.5591756105422974,0.5559130311012268,0.5591756105422974,False,True,True
chainsaw,wind,free_field,100,2,15.0,Chainsaw,0.5015517473220825,0.5015517473220825,0.5015517473220825,True,True,True
chainsaw,wind,free_field,200,0,8.979400086720375,Vehicle,0.3926027715206146,0.048492006957530975,0.3926027715206146,False,False,True
chainsaw,wind,free_field,200,1,8.979400086720375,Engine,0.5027231574058533,0.46029454469680786,0.5027231574058533,False,True,True
chainsaw,wind,free_field,200,2,8.979400086720375,Chainsaw,0.41340190172195435,0.41340190172195435,0.41340190172195435,True,True,True
chainsaw,wind,free_field,500,0,1.020599913279625,Vehicle,0.4527580142021179,0.003011590801179409,0.4527580142021179,False,False,True
chainsaw,wind,free_field,500,1,1.020599913279625,Vehicle,0.3099537491798401,0.24525988101959229,0.3099537491798401,False,True,True
chainsaw,wind,free_field,500,2,1.020599913279625,Vehicle,0.4763738512992859,0.3040807545185089,0.4763738512992859,False,True,True
chainsaw,wind,free_field,1000,0,-5.0,Vehicle,0.4093655049800873,0.000297208724077791,0.4093655049800873,False,False,True
chainsaw,wind,free_field,1000,1,-5.0,Vehicle,0.5058149695396423,0.0019694282673299313,0.5058149695396423,False,False,True
chainsaw,wind,free_field,1000,2,-5.0,Vehicle,0.6194986701011658,0.05508257821202278,0.6194986701011658,False,False,True
chainsaw,wind,forest,1,0,55.0,Engine,0.21478378772735596,0.17496457695960999,0.21478378772735596,False,True,True
chainsaw,wind,forest,1,1,55.0,Chainsaw,0.5719015598297119,0.5719015598297119,0.5719015598297119,True,True,True
chainsaw,wind,forest,1,2,55.0,Chainsaw,0.6396467685699463,0.6396467685699463,0.6396467685699463,True,True,True
chainsaw,wind,forest,5,0,40.82059991327962,Engine,0.21628442406654358,0.1773708015680313,0.21628442406654358,False,True,True
chainsaw,wind,forest,5,1,40.82059991327962,Chainsaw,0.5691665410995483,0.5691665410995483,0.5691665410995483,True,True,True
chainsaw,wind,forest,5,2,40.82059991327962,Chainsaw,0.6365910172462463,0.6365910172462463,0.6365910172462463,True,True,True
chainsaw,wind,forest,10,0,34.55,Engine,0.21560028195381165,0.17447957396507263,0.21560028195381165,False,True,True
chainsaw,wind,forest,10,1,34.55,Chainsaw,0.5670948028564453,0.5670948028564453,0.5670948028564453,True,True,True
chainsaw,wind,forest,10,2,34.55,Chainsaw,0.640236496925354,0.640236496925354,0.640236496925354,True,True,True
chainsaw,wind,forest,25,0,25.841199826559247,Engine,0.21120385825634003,0.17490904033184052,0.21120385825634003,False,True,True
chainsaw,wind,forest,25,1,25.841199826559247,Engine,0.560453474521637,0.5587596893310547,0.560453474521637,False,True,True
chainsaw,wind,forest,25,2,25.841199826559247,Chainsaw,0.6351708173751831,0.6351708173751831,0.6351708173751831,True,True,True
chainsaw,wind,forest,50,0,18.570599913279622,Vehicle,0.21776540577411652,0.1445707231760025,0.21776540577411652,False,True,True
chainsaw,wind,forest,50,1,18.570599913279622,Chainsaw,0.5595265626907349,0.5595265626907349,0.5595265626907349,True,True,True
chainsaw,wind,forest,50,2,18.570599913279622,Chainsaw,0.5884429812431335,0.5884429812431335,0.5884429812431335,True,True,True
chainsaw,wind,forest,100,0,10.049999999999997,Vehicle,0.3579994738101959,0.0517134889960289,0.3579994738101959,False,False,True
chainsaw,wind,forest,100,1,10.049999999999997,Engine,0.5158185362815857,0.4771762490272522,0.5158185362815857,False,True,True
chainsaw,wind,forest,100,2,10.049999999999997,Chainsaw,0.42453598976135254,0.42453598976135254,0.42453598976135254,True,True,True
chainsaw,wind,forest,200,0,-0.9705999132796279,Vehicle,0.43245720863342285,0.0009891639929264784,0.43245720863342285,False,False,True
chainsaw,wind,forest,200,1,-0.9705999132796279,Vehicle,0.40786218643188477,0.0633951872587204,0.40786218643188477,False,False,True
chainsaw,wind,forest,200,2,-0.9705999132796279,Vehicle,0.5442425012588501,0.20410814881324768,0.5442425012588501,False,True,True
chainsaw,wind,forest,500,0,-23.929400086720378,Vehicle,0.6361100077629089,9.316032446804456e-06,0.6361100077629089,False,False,True
