filename,target_class,background_class,snr_db,predicted_class,alert_label,confidence,combined_confidence,confidence_gate,target_score,correct,prob_chainsaw,prob_gunshot,prob_engine,prob_axe,prob_fire,prob_background
chainsaw_rain_snr+20_s00.wav,chainsaw,rain,20,chainsaw,chainsaw,0.975786566734314,0.975786566734314,alert,0.975786566734314,True,0.975786566734314,0.009920915588736534,0.0035647305194288492,0.0023872824385762215,0.003798631252720952,0.0045418571680784225
chainsaw_rain_snr+20_s01.wav,chainsaw,rain,20,chainsaw,chainsaw,0.8334840536117554,0.8334840536117554,alert,0.8334840536117554,True,0.8334840536117554,0.007345600984990597,0.10970167070627213,0.022043628618121147,0.004888341296464205,0.02253667637705803
chainsaw_rain_snr+20_s02.wav,chainsaw,rain,20,chainsaw,chainsaw,0.9088790416717529,0.9088790416717529,alert,0.9088790416717529,True,0.9088790416717529,0.022715909406542778,0.014765046536922455,0.018500668928027153,0.019620928913354874,0.015518488362431526
chainsaw_rain_snr+20_s03.wav,chainsaw,rain,20,chainsaw,chainsaw,0.8868898749351501,0.8868898749351501,alert,0.8868898749351501,True,0.8868898749351501,0.01493392325937748,0.03282196819782257,0.023032106459140778,0.02258261665701866,0.01973949372768402
chainsaw_rain_snr+20_s04.wav,chainsaw,rain,20,chainsaw,chainsaw,0.9483546018600464,0.9483546018600464,alert,0.9483546018600464,True,0.9483546018600464,0.009426436387002468,0.006633500102907419,0.01910986751317978,0.009460583329200745,0.007015050854533911
chainsaw_rain_snr+10_s03.wav,chainsaw,rain,10,chainsaw,chainsaw,0.8875879645347595,0.8875879645347595,alert,0.8875879645347595,True,0.8875879645347595,0.010945295915007591,0.03333326056599617,0.03728347644209862,0.01780027523636818,0.013049771077930927
chainsaw_rain_snr+10_s08.wav,chainsaw,rain,10,chainsaw,chainsaw,0.8376888632774353,0.8376888632774353,alert,0.8376888632774353,True,0.8376888632774353,0.0789714902639389,0.02073981985449791,0.016417015343904495,0.018303586170077324,0.02787920832633972
chainsaw_rain_snr+5_s02.wav,chainsaw,rain,5,chainsaw,chainsaw,0.9107993841171265,0.9107993841171265,alert,0.9107993841171265,True,0.9107993841171265,0.017111022025346756,0.02477871999144554,0.01339702121913433,0.018989868462085724,0.014924021437764168
chainsaw_rain_snr+5_s08.wav,chainsaw,rain,5,chainsaw,chainsaw,0.8592833280563354,0.8592833280563354,alert,0.8592833280563354,True,0.8592833280563354,0.006029840093106031,0.07417390495538712,0.014886789955198765,0.019075563177466393,0.026550590991973877
chainsaw_rain_snr+0_s06.wav,chainsaw,rain,0,chainsaw,chainsaw,0.7061194181442261,0.7061194181442261,alert,0.7061194181442261,True,0.7061194181442261,0.05622916296124458,0.17276018857955933,0.020140090957283974,0.0126452362164855,0.03210589289665222
chainsaw_rain_snr+0_s08.wav,chainsaw,rain,0,chainsaw,chainsaw,0.8758066296577454,0.8758066296577454,alert,0.8758066296577454,True,0.8758066296577454,0.031109802424907684,0.03866853564977646,0.028360631316900253,0.011528894305229187,0.014525461941957474
chainsaw_rain_snr-5_s00.wav,chainsaw,rain,-5,chainsaw,chainsaw,0.8723251223564148,0.8723251223564148,alert,0.8723251223564148,True,0.8723251223564148,0.04640285670757294,0.02493874728679657,0.011234006844460964,0.011659697629511356,0.03343961387872696
chainsaw_rain_snr-10_s00.wav,chainsaw,rain,-10,gunshot,gunshot,0.6249298453330994,0.6249298453330994,verify,0.11400973051786423,False,0.11400973051786423,0.6249298453330994,0.11637666821479797,0.018110474571585655,0.03377367556095123,0.09279971569776535
chainsaw_rain_snr-10_s05.wav,chainsaw,rain,-10,chainsaw,chainsaw,0.7898473739624023,0.7898473739624023,alert,0.7898473739624023,True,0.7898473739624023,0.022166339680552483,0.06252413243055344,0.057094622403383255,0.03680257126688957,0.031564950942993164
chainsaw_rain_snr-10_s06.wav,chainsaw,rain,-10,background,background,0.3402041494846344,0.3402041494846344,log_only,0.14928916096687317,False,0.14928916096687317,0.25080445408821106,0.2340143769979477,0.007254310883581638,0.0184335894882679,0.3402041494846344
chainsaw_wind_snr+20_s03.wav,chainsaw,wind,20,chainsaw,chainsaw,0.9486032724380493,0.9486032724380493,alert,0.9486032724380493,True,0.9486032724380493,0.009767724201083183,0.007897653616964817,0.01677372120320797,0.009860992431640625,0.007096603978425264
chainsaw_wind_snr+15_s04.wav,chainsaw,wind,15,chainsaw,chainsaw,0.9723839163780212,0.9723839163780212,alert,0.9723839163780212,True,0.9723839163780212,0.009166589006781578,0.0043412488885223866,0.002712635090574622,0.006058409810066223,0.005337177310138941
chainsaw_wind_snr+15_s08.wav,chainsaw,wind,15,chainsaw,chainsaw,0.9421663284301758,0.9421663284301758,alert,0.9421663284301758,True,0.9421663284301758,0.015380955301225185,0.014941657893359661,0.01212045643478632,0.007739929482340813,0.007650697138160467
chainsaw_wind_snr+10_s04.wav,chainsaw,wind,10,chainsaw,chainsaw,0.9385263919830322,0.9385263919830322,alert,0.9385263919830322,True,0.9385263919830322,0.01298132911324501,0.009880096651613712,0.018462395295500755,0.009731731377542019,0.010417995974421501
chainsaw_wind_snr+10_s08.wav,chainsaw,wind,10,chainsaw,chainsaw,0.9202288389205933,0.9202288389205933,alert,0.9202288389205933,True,0.9202288389205933,0.021802347153425217,0.00850252341479063,0.024350637570023537,0.013661469332873821,0.01145416870713234
chainsaw_wind_snr+5_s01.wav,chainsaw,wind,5,chainsaw,chainsaw,0.9102450609207153,0.9102450609207153,alert,0.9102450609207153,True,0.9102450609207153,0.025006478652358055,0.015726791694760323,0.01235649548470974,0.020192351192235947,0.016472861170768738
chainsaw_wind_snr+5_s03.wav,chainsaw,wind,5,chainsaw,chainsaw,0.7280662655830383,0.7280662655830383,alert,0.7280662655830383,True,0.7280662655830383,0.009922818280756474,0.16880294680595398,0.014702931977808475,0.03921842947602272,0.0392865389585495
chainsaw_wind_snr+0_s01.wav,chainsaw,wind,0,chainsaw,chainsaw,0.9651211500167847,0.9651211500167847,alert,0.9651211500167847,True,0.9651211500167847,0.004948542919009924,0.006097921170294285,0.010210688225924969,0.0059476797468960285,0.007673997897654772
chainsaw_wind_snr-5_s02.wav,chainsaw,wind,-5,chainsaw,chainsaw,0.4654242694377899,0.4654242694377899,verify,0.4654242694377899,True,0.4654242694377899,0.052453767508268356,0.09016886353492737,0.08545785397291183,0.26024752855300903,0.046247661113739014
chainsaw_wind_snr-5_s07.wav,chainsaw,wind,-5,chainsaw,chainsaw,0.700762152671814,0.700762152671814,alert,0.700762152671814,True,0.700762152671814,0.07771232724189758,0.07354458421468735,0.040617942810058594,0.054504282772541046,0.052858781069517136
chainsaw_wind_snr-10_s09.wav,chainsaw,wind,-10,engine,engine,0.33305883407592773,0.33305883407592773,log_only,0.2802644968032837,False,0.2802644968032837,0.02430819720029831,0.33305883407592773,0.007855054922401905,0.05461418256163597,0.2998991310596466
chainsaw_birds_snr+20_s01.wav,chainsaw,birds,20,chainsaw,chainsaw,0.9289438128471375,0.9289438128471375,alert,0.9289438128471375,True,0.9289438128471375,0.007344290614128113,0.01466988492757082,0.018123330548405647,0.0141679085791111,0.016750842332839966
chainsaw_birds_snr+20_s07.wav,chainsaw,birds,20,chainsaw,chainsaw,0.9214168787002563,0.9214168787002563,alert,0.9214168787002563,True,0.9214168787002563,0.024343227967619896,0.010344465263187885,0.009340602904558182,0.019503651186823845,0.015051194466650486
chainsaw_birds_snr+15_s00.wav,chainsaw,birds,15,chainsaw,chainsaw,0.9007812142372131,0.9007812142372131,alert,0.9007812142372131,True,0.9007812142372131,0.03344409540295601,0.013980187475681305,0.009636186994612217,0.02306373417377472,0.01909458637237549
chainsaw_birds_snr+15_s03.wav,chainsaw,birds,15,chainsaw,chainsaw,0.9357621669769287,0.9357621669769287,alert,0.9357621669769287,True,0.9357621669769287,0.009473037905991077,0.009865273721516132,0.02098546363413334,0.012312425300478935,0.011601700447499752
chainsaw_birds_snr+10_s03.wav,chainsaw,birds,10,chainsaw,chainsaw,0.9499242305755615,0.9499242305755615,alert,0.9499242305755615,True,0.9499242305755615,0.02462075464427471,0.007365738973021507,0.003813818795606494,0.007352934218943119,0.006922481115907431
chainsaw_birds_snr+5_s00.wav,chainsaw,birds,5,chainsaw,chainsaw,0.926374077796936,0.926374077796936,alert,0.926374077796936,True,0.926374077796936,0.01005212776362896,0.01946817897260189,0.016000578179955482,0.015161450020968914,0.012943649664521217
chainsaw_birds_snr+0_s03.wav,chainsaw,birds,0,chainsaw,chainsaw,0.9084376096725464,0.9084376096725464,alert,0.9084376096725464,True,0.9084376096725464,0.005134562496095896,0.053855545818805695,0.0074514364823699,0.016314025968313217,0.008806885220110416
chainsaw_birds_snr+0_s06.wav,chainsaw,birds,0,chainsaw,chainsaw,0.9639516472816467,0.9639516472816467,alert,0.9639516472816467,True,0.9639516472816467,0.005994565784931183,0.005167264025658369,0.009108024649322033,0.00929337553679943,0.006485044024884701
chainsaw_birds_snr-5_s02.wav,chainsaw,birds,-5,chainsaw,chainsaw,0.9659735560417175,0.9659735560417175,alert,0.9659735560417175,True,0.9659735560417175,0.011923130601644516,0.005209674593061209,0.004992990288883448,0.007515271659940481,0.0043853879906237125
chainsaw_birds_snr-5_s04.wav,chainsaw,birds,-5,chainsaw,chainsaw,0.9521966576576233,0.9521966576576233,alert,0.9521966576576233,True,0.9521966576576233,0.009507847018539906,0.007891668938100338,0.004400391597300768,0.012714365497231483,0.013288970105350018
chainsaw_birds_snr-5_s08.wav,chainsaw,birds,-5,chainsaw,chainsaw,0.9292474985122681,0.9292474985122681,alert,0.9292474985122681,True,0.9292474985122681,0.013349068351089954,0.015851905569434166,0.009138084016740322,0.022304920479655266,0.010108552873134613
chainsaw_forest_night_snr+20_s00.wav,chainsaw,forest_night,20,chainsaw,chainsaw,0.9082391858100891,0.9082391858100891,alert,0.9082391858100891,True,0.9082391858100891,0.021038159728050232,0.017273949459195137,0.015537628903985023,0.017441537231206894,0.02046946994960308
chainsaw_forest_night_snr+15_s07.wav,chainsaw,forest_night,15,chainsaw,chainsaw,0.6163786053657532,0.6163786053657532,verify,0.6163786053657532,True,0.6163786053657532,0.06474559009075165,0.15417009592056274,0.10270357877016068,0.029072212055325508,0.032929860055446625
chainsaw_forest_night_snr+10_s01.wav,chainsaw,forest_night,10,chainsaw,chainsaw,0.9574944376945496,0.9574944376945496,alert,0.9574944376945496,True,0.9574944376945496,0.0121644027531147,0.00426168367266655,0.011819903738796711,0.007329925894737244,0.006929632741957903
chainsaw_forest_night_snr+10_s03.wav,chainsaw,forest_night,10,chainsaw,chainsaw,0.9394893050193787,0.9394893050193787,alert,0.9394893050193787,True,0.9394893050193787,0.006568278651684523,0.009138116613030434,0.025859564542770386,0.00842439103871584,0.01052023470401764
chainsaw_forest_night_snr+10_s08.wav,chainsaw,forest_night,10,chainsaw,chainsaw,0.9497684836387634,0.9497684836387634,alert,0.9497684836387634,True,0.9497684836387634,0.02749508246779442,0.00596589082852006,0.0026983292773365974,0.008035780861973763,0.0060363351367414
chainsaw_forest_night_snr+5_s02.wav,chainsaw,forest_night,5,chainsaw,chainsaw,0.9343001246452332,0.9343001246452332,alert,0.9343001246452332,True,0.9343001246452332,0.006118151359260082,0.013088546693325043,0.020193208009004593,0.015463128685951233,0.010836871340870857
chainsaw_forest_night_snr+5_s08.wav,chainsaw,forest_night,5,chainsaw,chainsaw,0.9066541194915771,0.9066541194915771,alert,0.9066541194915771,True,0.9066541194915771,0.005863772239536047,0.024319667369127274,0.021492814645171165,0.02329721860587597,0.018372399732470512
